Country,Year,Age,Any method,Any modern method,Female Sterilization,Male Sterilization,Pill,Injectable,IUD,Male condom,Vaginal barrier methods,Implant,Other modern methods,Any traditional method,Rhythm,Withdrawal,Other traditional methods
Burkina Faso,2014,15-49,17,17,0,0,2,7,0.1,0,0,7.8,0.1,0,0,0,0
Cambodia,2014,15-49,56.3,38.8,3,0.1,17.8,9.1,4.4,2.1,,2.2,0.1,17.5,3,14.5,0.1
Cuba,2014,15-49,73.7,72.2,24.5,0,7.3,0.6,23.8,15.5,0.2,0,0.3,1.5,,,1.5
Democratic Republic of the Congo,2013-2014,15-49,20.4,7.5,0.7,0.1,0.7,1.2,0.2,3.4,0.4,0.7,0,12.9,7.5,4.5,0.9
Dominican Republic,2013,15-49,71.9,68.4,40.9,0.2,16.6,5.7,1.7,2.6,,0.5,0.2,3.5,1.2,1.8,0.5
Egypt,2014,15-49,58.5,56.9,1.2,0,16,8.5,30.1,0.5,0.1,0.5,0,1.6,0.3,0.3,1
Ethiopia,2014,15-49,35,33.8,0.3,0,1.6,23.8,0.7,0.2,0,7.2,0,1.2,,,1.2
Gambia,2013,15-49,9,8.1,0.6,,2.1,3.9,0.3,0.6,,0.6,,0.9,0.2,0.3,0.4
Ghana,2014,15-49,19.5,17.7,0,0,4.3,7.3,0.4,0.8,0,3.2,1.7,1.8,0,0,1.8
Kenya,2014,15-49,55.7,55.4,1.6,,7.3,29.1,3.4,1.8,,11.1,0.8,0.2,,,0.2
Kyrgyzstan,2014,15-49,42,38.5,1.3,0,4.1,0.2,22.4,10.4,0,0,0,3.4,0.7,1.1,1.6
Lesotho,2014,15-49,60.2,59.8,1.7,0.1,14.2,24,1.3,16.9,,1.4,0.2,0.4,0.2,0.2,
Liberia,2013,15-49,20.2,19.1,0.3,,5,11.2,,0.4,,2.1,0.2,1.1,1.1,0,0
Malawi,2013-2014,15-49,58.6,57.4,10.2,0.1,2.2,32.2,1,2,,9.4,0.3,1.2,0.5,0.3,0.5
Montenegro,2013,15-49,23.3,15.4,0.1,,2.7,,5.6,6.9,,,,7.8,0.3,7.4,0.1
Namibia,2013,15-49,56.1,55.2,6.4,0.3,7,26.8,1.2,12,0,0.2,1.3,0.9,0.2,0.3,0.5
Nepal,2014,15-49,49.6,47.1,18,4.7,4.7,13,1.7,3.7,0.1,1.3,,2.5,0.2,2.2,0.1
Nigeria,2013,15-49,15.1,9.4,0.3,0,1.8,3.2,1.1,2.1,0,0.4,0.3,5.8,2.3,2.5,1.1
Panama,2013,15-49,62.8,59.9,25,0.5,11.4,16.3,2.4,3.7,0.6,0.2,,2.9,0.9,1.1,0.7
Peru,2013,15-49,74,51.2,8.8,0.3,9.1,17.4,2.5,12.6,0.2,0.2,0,22.7,13.9,7.9,0.9
Philippines,2013,15-49,55.1,36.9,8.5,0.1,19.1,3.7,3.5,1.9,,,0.1,18.2,5.3,12.1,0.7
Serbia,2014,15-49,58.4,18.4,0.4,0,3.3,0,2.2,12.4,0,0,0.1,40,4.9,35,0.1
Sierra Leone,2013,15-49,16.6,14.6,0.5,,3.9,7.5,0.1,0.2,,2.4,0,2,0.1,0.1,1.8
Togo,2013-2014,15-49,19.9,17.3,0.3,,2.2,7.1,0.8,2.1,,4.7,0,2.6,2.2,0.3,0.1
Turkey,2013,15-49,73.5,47.3,9.4,0,4.6,0.6,16.8,15.8,0.1,0,0,26,0.3,25.5,0.2
Uganda,2014,15-49,27.2,25.5,1.9,0,2.1,15,0.8,1.9,0,3.3,0.6,1.6,0,0,1.6
Vanuatu,2013,15-49,49,36.4,11,0.6,10.5,9.7,2.4,2.1,,,,12.5,6.5,4.7,1.3
Viet Nam,2013-2014,15-49,75.7,56.9,2.8,0.1,11.9,1.7,28.2,11.8,0,0.2,0.2,18.8,13.4,5.4,0
Yemen,2013,15-49,33.5,25.2,2.3,0.1,11.6,4.2,5.9,0.5,0,0.6,0,8.3,1.6,2.6,4.1
Zambia,2013-2014,15-49,49,43.9,1.9,,11.8,19.3,1.2,4,,5.5,0.2,5.2,0.8,3.2,1.2
Zimbabwe,2014,15-49,66.9,66.3,0.9,0,43.9,9,0.4,3.3,0.2,8.4,0.2,0.6,0.1,0.3,0.2
